Exact source: f4671e429e7a221999e661f862e15f38d2ade700
Selected normalized records: all 33 declarations in the four new modules.
The full log audits 243 declarations in 23 modules, including private declarations.
This excerpt does not have the full raw-log hash.

GameTheory.ReBeL.cfrDFiniteChildTable.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildProfile_of_reaches: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildProfile_before: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildProfile_isNash: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildProfile_beliefLaw: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildProfile: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildTable: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildProfile_of_reaches._proof_1_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildProfile.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsConditionalBudgetProfile.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildProfile_deviationLaw: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildProfile_prefixLaw: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildProfile_referenceLaw: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteContinuation_referenceLaw: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.CFRDFactualChildPossible.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteContinuation_leafOptimal: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteContinuation: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDFiniteChildProfile_referenceBudget: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDConstructedFiniteOracle: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDConstructedFiniteOracle_leafOptimal: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDConstructedFiniteOracle_isNash: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDConstructedFiniteOracle_carried_security: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.cfrDConstructedFiniteOracle_accurate: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.finiteChildControl_zero_remaining: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.finiteChildControl_driver_isNash: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.finiteChildHistoryFintype: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.finiteChildInfoDecidable: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.finiteChildChoiceFintype: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.finiteChildControl_prefix: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.finiteChildControl_leafOptimal: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.finiteChildControl_driver_leafOptimal: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.finiteChildControl_unvisited: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.finiteChildControl_biased_accuracy: [propext, Classical.choice, Quot.sound]
