# Normalized PBS-root module axiom excerpt — not a raw log
# Source: d693b30eddbf5a2d523c92d2308f51879f4c28d4
# Target run: 35550519612; job: 106184279972; artifact: 10618207018
# Raw m06-targeted.log SHA256:
# 700fc6f7bcfbce7b802d3858d0d4601584c1ce77f1b6c8232c1bb38a5e19a41f
# All 112 declarations owned by the six new modules are included below.
# Generated/private declarations are retained. Wrapped dependency lists are
# normalized to one line. The full supplemental raw log audits 468 declarations
# across 41 modules and is not reproduced in full here.
# Allowed dependencies only: propext, Classical.choice, Quot.sound.

MODULE GameTheory.Analysis.ReBeL.PBSRootProtocol declarations=27
GameTheory.ReBeL.pbsRootDrawHistory: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol_step_support._simp_1_2: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootRank: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol._proof_2: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootRank.eq_2: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_length_le: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol_step_support._simp_1_1: [propext]
GameTheory.ReBeL.pbsRootRank_decreases: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.PBSRootProtocol.0.GameTheory.ReBeL.pbsRootProtocol.match_1.splitter: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol_chanceLaw: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootMaxDepth: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootDrawHistory._proof_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootHistoryFintype: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol_isChance: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.PBSRootProtocol.0.GameTheory.ReBeL.pbsRootProtocol.match_1.eq_2: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootRank_decreases._proof_1_5: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol.match_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol_step_support: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol._proof_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol.match_3: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol_step_none_support: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootProtocol_bounded: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.PBSRootProtocol.0.GameTheory.ReBeL.pbsRootProtocol.match_1.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootRank.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootDrawHistory._proof_2: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootRank_decreases._proof_1_4: [propext, Classical.choice, Quot.sound]
MODULE GameTheory.Analysis.ReBeL.PBSRootInformation declarations=11
GameTheory.ReBeL.pbsRootInformation._proof_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootPolicy: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootInformation: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootInformation.match_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootBehavioralPolicy_some: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootSignals_equal_of_original_equal: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootSignals: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootSignals_infoOf: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootPolicy.match_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootPolicy._proof_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootBehavioralPolicy: [propext, Classical.choice, Quot.sound]
MODULE GameTheory.Analysis.ReBeL.PBSRootCFR declarations=14
GameTheory.ReBeL.pbsRootCFR: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootPayoff.match_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootPayoff_abs_le: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsCFRInfoDecidableEq: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsCFRHistoryFintype: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootPayoff_zeroSum: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootPayoff: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootFallback: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsCFRChoiceFintype: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootCFR_isNash: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootCFRBound._proof_1: [propext]
GameTheory.ReBeL.pbsRootCFRBound: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootFullInformation: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootPayoff.eq_1: [propext, Classical.choice, Quot.sound]
MODULE GameTheory.Analysis.ReBeL.PBSRootExecution declarations=17
GameTheory.ReBeL.pbsRootActionLaw: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.PBSRootExecution.0.GameTheory.ReBeL.pbsRootActionLaw.match_1.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootChooser.congr_simp: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootActionLaw._proof_1: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.PBSRootExecution.0.GameTheory.ReBeL.pbsRootActionLaw.match_1.eq_2: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootChooser.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootChooser: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootActionLaw.match_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootActionLaw.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootActionLaw.congr_simp: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_run_initial.match_1_8: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_run_initial: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_run_one: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_runFrom_some.match_1_7: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.PBSRootExecution.0.GameTheory.ReBeL.pbsRootActionLaw.match_1.splitter: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_runFrom_some: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootActionLaw.eq_2: [propext, Classical.choice, Quot.sound]
MODULE GameTheory.Analysis.ReBeL.Examples.PBSRootCFR declarations=32
GameTheory.ReBeL.Examples.HiddenTypes.pbsRoot_live_randomized_deviation: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRoot_zero_does_not_draw: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootHiddenRoots._proof_3: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType._sparseCasesOn_1: [propext]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootDiagonal.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootHiddenSecond: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootHiddenFirst._proof_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRoot_terminal_stops: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootHiddenSecond._proof_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType._sparseCasesOn_1.else_eq: [propext]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRoot_policy_no_hidden_leak: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootHiddenRoots._proof_1: [propext]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootHiddenRoots: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootHiddenFirst: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootHiddenRoots._proof_2: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootControlFallback: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.Examples.PBSRootCFR.0.GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType.match_4.splitter: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType.match_4: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.Examples.PBSRootCFR.0.GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType.match_4.eq_2: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.Examples.PBSRootCFR.0.GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType.match_1.eq_1: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.Examples.PBSRootCFR.0.GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType.match_4.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootDiagonal: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.rootControlHistoryFintype: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRoot_full_no_hidden_leak: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType.match_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRoot_correlation_preserved: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.Examples.PBSRootCFR.0.GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType.match_1.eq_2: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRoot_live_cfr: [propext, Classical.choice, Quot.sound]
_private.GameTheory.Analysis.ReBeL.Examples.PBSRootCFR.0.GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType.match_1.splitter: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.Examples.HiddenTypes.pbsRootSameType.eq_2: [propext, Classical.choice, Quot.sound]
MODULE GameTheory.Analysis.ReBeL.PBSRootBehavioral declarations=11
GameTheory.ReBeL.pbsRootBehavioralFullProfile_update: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_behavioralFull_unilateral_law: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootBehavioralFullPolicy: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootBehavioralProfile: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_behavioralChooser: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_behavioral_law: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootBehavioralFullProfile.eq_1: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_behavioralFull_law: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_behavioralJoint_some: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRootBehavioralFullProfile: [propext, Classical.choice, Quot.sound]
GameTheory.ReBeL.pbsRoot_behavioralFullChooser: [propext, Classical.choice, Quot.sound]
